iteration;gpu;cpu
0;4.756492700005765;30.437956099995063
1;4.743535900008283;30.3330896999978
2;4.756467599989264;30.35633830000006
3;4.717655399988871;30.371980600000825
4;4.7133558000059566;30.403062299999874
5;4.7211696000013035;30.32246340000711
6;4.738119299989194;30.32976680000138
7;4.721042799996212;30.34973680000985
8;4.715044199998374;30.38033309999446
9;4.73694859999523;30.31440959998872
10;4.7210959999938495;30.35620549999294
11;4.716946400003508;30.37327150000783
12;4.729319799997029;30.37833409999439
13;4.737090700000408;30.33111930001178
14;4.714984600010212;30.354887300010887
15;4.723060800009989;30.309467899991432
16;4.733929800000624;30.326793599990197
17;4.722203299999819;30.34648589999415
18;4.721168899995973;30.43081180000445
19;4.740195899998071;30.33857639999769
