epoch;seconds;avr_loss;top_1_acc;top_5_acc;f1_score;precision;recall
0;746.768367767334;0.3224243172682075;0.3693152964115143;0.699096143245697;0.3693152964115143;0.3693152964115143;0.3693152964115143
1;307.4106180667877;0.21098225003773863;0.5961127281188965;0.8875287771224976;0.5961127281188965;0.5961127281188965;0.5961127281188965
2;309.01614928245544;0.12246048247233907;0.7586459517478943;0.9480120539665222;0.7586459517478943;0.7586459517478943;0.7586459517478943
3;304.64059376716614;0.06594068486532215;0.8541383743286133;0.9732616543769836;0.8541384339332581;0.8541383743286133;0.8541383743286133
4;306.25386023521423;0.03731215109076837;0.905653715133667;0.984226405620575;0.905653715133667;0.905653715133667;0.905653715133667
5;308.1204574108124;0.023838690973269017;0.9326165318489075;0.990110456943512;0.9326164722442627;0.9326165318489075;0.9326165318489075
6;307.2144024372101;0.016818184256668086;0.9495007991790771;0.9939032196998596;0.9495007991790771;0.9495007991790771;0.9495007991790771
7;305.63216280937195;0.011485782917390889;0.9647191166877747;0.9962072372436523;0.9647191166877747;0.9647191166877747;0.9647191166877747
8;307.8123836517334;0.009095325078995676;0.9722455143928528;0.9976959824562073;0.9722455143928528;0.9722455143928528;0.9722455143928528
9;307.95276856422424;0.0060046399930106485;0.9829385280609131;0.9986766576766968;0.9829385280609131;0.9829385280609131;0.9829385280609131
10;305.2750554084778;0.004905018511088301;0.9857860207557678;0.9992319941520691;0.9857860207557678;0.9857860207557678;0.9857860207557678
11;306.334246635437;0.0037572161688219355;0.9902404546737671;0.9996337294578552;0.9902404546737671;0.9902404546737671;0.9902404546737671
12;308.3982172012329;0.0031084323137659017;0.9929225444793701;0.9998109340667725;0.9929225444793701;0.9929225444793701;0.9929225444793701
13;307.28264832496643;0.003172481785387409;0.9961127042770386;0.9993265271186829;0.9961127042770386;0.9961127042770386;0.9961127042770386
14;304.2577338218689;0.0018018476124150883;0.9969279766082764;0.9999409317970276;0.9969279766082764;0.9969279766082764;0.9969279766082764
15;307.8464152812958;0.0013458482675515234;0.9975541830062866;0.9998936653137207;0.9975541830062866;0.9975541830062866;0.9975541830062866
16;309.467200756073;0.014406360373968728;0.995380163192749;0.9979204535484314;0.995380163192749;0.995380163192749;0.995380163192749
17;308.705792427063;0.001242216516362663;0.9969752430915833;0.9999172687530518;0.9969752430915833;0.9969752430915833;0.9969752430915833
18;307.3518557548523;0.0009564771865991516;0.9988657236099243;0.9999054670333862;0.9988657236099243;0.9988657236099243;0.9988657236099243
19;309.8617603778839;0.000513046867810758;0.9991020560264587;0.9999172687530518;0.9991020560264587;0.9991020560264587;0.9991020560264587
20;547.061635017395;0.00045866461737334045;0.9988657236099243;0.999976396560669;0.9988657236099243;0.9988657236099243;0.9988657236099243
21;306.21741247177124;0.000493106278580783;0.9989720582962036;0.9999527335166931;0.9989720582962036;0.9989720582962036;0.9989720582962036
22;310.90480494499207;0.0004549587063569138;0.9987948536872864;0.9999645352363586;0.9987948536872864;0.9987948536872864;0.9987948536872864
23;309.974547624588;0.0007370055016200809;0.9982395172119141;0.9994210600852966;0.9982395172119141;0.9982395172119141;0.9982395172119141
24;305.6111762523651;0.0007244616175187907;0.9986175894737244;0.9998227953910828;0.9986175894737244;0.9986175894737244;0.9986175894737244
25;306.0736668109894;0.00042844610639367466;0.9989129900932312;0.9997991323471069;0.9989129900932312;0.9989129900932312;0.9989129900932312
26;307.537846326828;0.0003326698276375139;0.9993383288383484;0.9999291300773621;0.9993383288383484;0.9993383288383484;0.9993383288383484
27;305.4533393383026;0.0003220303154509457;0.9995982646942139;0.9999645352363586;0.9995982646942139;0.9995982646942139;0.9995982646942139
