iteration;gpu;cpu
0;5.172073800000362;30.75237250002101
1;5.205131300026551;30.718994399998337
2;5.129680800018832;30.720500299939886
3;5.157422699965537;30.70668669999577
4;5.231444100034423;30.73103839997202
5;5.1830037999898195;30.694407999981195
6;5.112955700024031;30.68994820001535
7;5.1794915000209585;30.799821499967948
8;5.212545100017451;30.73868950002361
9;5.15711959998589;30.73427959997207
10;5.137398099992424;30.7124279999407
11;5.164628600003198;30.69790859997738
12;5.194967399933375;30.758573100087233
13;5.1885888000251725;30.786835700040683
14;5.156907399999909;30.687422499991953
15;5.162094499915838;30.655341399949975
16;5.178368499968201;30.760503600002266
17;5.18843039998319;30.71896910003852
18;5.0937295000767335;30.716689400025643
19;5.167878499953076;30.72028330003377
