iteration;gpu;cpu
0;0.07593819999601692;0.09002670005429536
1;0.0714988000690937;0.07341790001373738
2;0.0692890000063926;0.07040399999823421
3;0.06919670000206679;0.07062369992490858
4;0.06892800005152822;0.07044009992387146
5;0.06898700003512204;0.07021020003594458
6;0.06931289995554835;0.0701326000271365
7;0.06906000000890344;0.07043850002810359
8;0.06914249993860722;0.07036460004746914
9;0.06907409999985248;0.0707296000327915
10;0.0691320999758318;0.0706909999717027
11;0.06903969997074455;0.07111419993452728
12;0.06926599994767457;0.07103280001319945
13;0.0692034000530839;0.07073179993312806
