iteration;gpu;cpu
0;5.389955499995267;4.343058500002371
1;5.591064899999765;4.372628299999633
2;5.317043900009594;4.655294099997263
3;5.267731700005243;4.34589519999281
4;5.389078899999731;4.409274699995876
5;5.322404100006679;4.412777499994263
6;5.292913600002066;4.391976400002022
7;5.314475000006496;4.3988274000003
8;5.408822400000645;4.436886499999673
9;5.394123899997794;4.32208390001324
10;5.412358599991421;4.359382700000424
11;5.4847794999950565;4.470398699995712
12;5.514170800001011;4.370605199990678
13;5.493709500005934;4.3670426000026055
14;5.369482800000696;4.43983489999664
15;5.645405400005984;4.468686899999739
16;5.353739500002121;4.365166899995529
17;5.571012799991877;4.380577000003541
18;5.513850799994543;4.374666500007152
19;5.4618189000029815;4.495696400001179
20;5.4877203999931226;4.4599855999986175
21;5.385297799992259;4.472381700004917
22;5.540231599996332;4.469474099998479
23;5.43962140000076;4.359283900004812
24;5.567274400003953;4.345070099996519
25;5.528777400002582;4.342893699998967
26;5.602669500003685;4.430004699999699
27;5.550953899990418;4.331660900003044
28;5.5221040999895195;4.465677799991681
29;5.553278599996702;4.440723899999284
30;5.538947399996687;4.5400034000049345
31;5.5459062000009;4.39904459999525
32;5.489018699998269;4.410321999996086
33;5.4610704999940936;4.419462499994552
34;5.466553400008706;4.3955832999927225
35;5.465246699997806;4.393616100001964
36;5.467893000008189;4.373458599991864
37;5.538024900000892;4.428394499991555
38;5.469913499997347;4.321399099993869
39;5.467693099999451;4.331002200007788
40;5.468976600008318;4.40622479999729
41;5.472134499999811;4.411880200001178
42;5.55726840000716;4.343117900003563
43;5.589775200001895;4.356039499994949
44;5.574025499998243;4.40074710000772
45;5.735986900006537;4.369856100005563
46;5.794185899998411;4.320369799999753
47;5.632613699999638;4.380437499989057
48;5.65692520000448;4.427407700000913
49;5.558832499998971;4.397566100000404
50;5.586004500000854;4.394384200000786
51;5.5621613999974215;4.410132499993779
52;5.586025500000687;4.386496699997224
53;5.610811699996702;4.371645599996555
54;5.587808699987363;4.3702787999936845
55;5.679450900002848;4.428552400000626
56;5.573406299998169;4.359341800009133
57;5.5797258999955375;4.328712300004554
58;5.604341300000669;4.336679700005334
59;5.612550200006808;4.416620800009696
60;5.586475200005225;4.310964200005401
61;5.591160299998592;4.351818199997069
62;5.592886499987799;4.3852937999909045
63;5.581850900009158;4.384523899992928
64;5.601448499990511;4.328486400001566
65;5.61250669999572;4.326409400004195
66;5.595291999998153;4.44787340000039
67;5.686667499991017;4.335860399994999
68;5.717594600006123;4.329846799999359
69;5.548504700011108;4.332247600003029
70;5.555210899998201;4.396554599996307
71;5.83280069999455;4.340228900007787
72;5.659757000001264;4.32909230000223
73;5.607280199998058;4.391360399997211
74;5.614812799991341;4.4169860999973025
75;5.701561699999729;4.604206300005899
76;5.572568200004753;4.591666599997552
77;6.058590500004357;4.449807099997997
78;7.346324500002083;4.35186270000122
79;6.6640626000007614;4.332718999998178
80;6.07182909999392;4.384882900005323
81;6.057385399995837;4.389408000002732
82;6.08040279999841;4.354555400001118
83;6.064995499997167;4.3439727000077255
84;6.103941299996222;4.443115400004899
85;6.067088000010699;4.465523100006976
86;6.051643900005729;4.3589932000031695
87;6.104541699998663;4.449835299994447
88;6.095539699992514;4.40403669999796
89;6.001764699991327;4.38773209998908
90;6.119708199999877;4.34758729999885
91;6.064915499999188;4.338695599988569
92;6.057861399996909;4.419167699990794
93;6.0885397999954876;4.327049200001056
94;6.066410200000973;4.3360952000075486
95;6.095831300001009;4.382056399990688
96;5.81335539999418;4.324308700000984
97;5.805439699994167;4.351938399995561
98;5.726012900006026;4.316317799995886
99;5.801829299991368;4.430505700001959
100;5.8535893999942346;4.349088799994206
101;5.677880000002915;4.511756399995647
102;5.67609929999162;4.290753799999948
103;5.6778248000046005;4.408821300006821
104;5.6760619999986375;4.328773300003377
105;5.678680599987274;4.285144499997841
