epoch;seconds;avr_loss;top_1_acc;top_5_acc;f1_score;precision;recall
0;1588.622820854187;0.11158254433050048;0.7576298117637634;0.9278430938720703;0.7576298117637634;0.7576298117637634;0.7576298117637634
1;355.5872554779053;0.036966232338916716;0.9066934585571289;0.9787912964820862;0.9066934585571289;0.9066934585571289;0.9066934585571289
2;355.6313600540161;0.018767764046039987;0.9456725716590881;0.9898151159286499;0.9456725716590881;0.9456725716590881;0.9456725716590881
3;353.7354528903961;0.012250222171685836;0.9643646478652954;0.993867814540863;0.9643646478652954;0.9643646478652954;0.9643646478652954
4;354.7244701385498;0.008252782127562476;0.9769244194030762;0.9969752430915833;0.9769244194030762;0.9769244194030762;0.9769244194030762
5;355.0477890968323;0.005746599666393337;0.9840609431266785;0.9981804490089417;0.9840609431266785;0.9840609431266785;0.9840609431266785
6;354.45469665527344;0.004255930625510953;0.9894960522651672;0.9990901947021484;0.9894960522651672;0.9894960522651672;0.9894960522651672
7;354.70588183403015;0.003116108906188067;0.9921545386314392;0.9991138577461243;0.9921545386314392;0.9921545386314392;0.9921545386314392
8;354.4229941368103;0.002417512090542417;0.9945294260978699;0.9993855953216553;0.9945294260978699;0.9945294260978699;0.9945294260978699
9;358.07679653167725;0.001939015704505478;0.9960891008377075;0.9993147253990173;0.9960891008377075;0.9960891008377075;0.9960891008377075
10;354.8070492744446;0.0015872912749784866;0.9967743754386902;0.9996809959411621;0.9967743754386902;0.9967743754386902;0.9967743754386902
11;354.7785875797272;0.0016365692045451096;0.9967271089553833;0.9994564652442932;0.9967271089553833;0.9967271089553833;0.9967271089553833
12;354.27098655700684;0.0012103263879017316;0.9974833130836487;0.9995391964912415;0.9974833130836487;0.9974833130836487;0.9974833130836487
13;353.9570596218109;0.0009957036157988242;0.9983812570571899;0.9995982646942139;0.9983812570571899;0.9983812570571899;0.9983812570571899
14;354.2014937400818;0.0012398358733475062;0.9974715113639832;0.9995864629745483;0.9974715113639832;0.9974715113639832;0.9974715113639832
15;354.8369469642639;0.001039699508335389;0.9977550506591797;0.9993855953216553;0.9977550506591797;0.9977550506591797;0.9977550506591797
16;354.40901255607605;0.0007477326881522348;0.9987948536872864;0.9995864629745483;0.9987948536872864;0.9987948536872864;0.9987948536872864
17;353.78139066696167;0.0008653833461281527;0.9984757900238037;0.999279260635376;0.9984757900238037;0.9984757900238037;0.9984757900238037
18;354.1272542476654;0.0010467870312326055;0.9979086518287659;0.9993855953216553;0.9979086518287659;0.9979086518287659;0.9979086518287659
19;353.97234177589417;0.0007178249590591226;0.9983576536178589;0.9990901947021484;0.9983576536178589;0.9983576536178589;0.9983576536178589
20;354.44197154045105;0.000913916888533564;0.9980149865150452;0.9996337294578552;0.9980149865150452;0.9980149865150452;0.9980149865150452
21;354.75561904907227;0.0008109161517022722;0.9981449842453003;0.9995391964912415;0.9981449842453003;0.9981449842453003;0.9981449842453003
22;354.6908826828003;0.0006359071260158347;0.9987475872039795;0.9997400641441345;0.9987475872039795;0.9987475872039795;0.9987475872039795
23;354.1819281578064;0.0008299410184362333;0.9981095194816589;0.9995982646942139;0.9981095194816589;0.9981095194816589;0.9981095194816589
24;353.90032386779785;0.0006997090059586782;0.9984285235404968;0.9995746612548828;0.9984285235404968;0.9984285235404968;0.9984285235404968
25;354.5851056575775;0.0007982844928439791;0.9981685876846313;0.9994091987609863;0.9981685876846313;0.9981685876846313;0.9981685876846313
26;357.62653374671936;0.0006816465568003155;0.9985112547874451;0.9995982646942139;0.9985112547874451;0.9985112547874451;0.9985112547874451
27;355.4542965888977;0.0007586624329648239;0.9981685876846313;0.9993855953216553;0.9981685876846313;0.9981685876846313;0.9981685876846313
28;354.4220116138458;0.0007514857222501129;0.9980977177619934;0.9996455311775208;0.9980977177619934;0.9980977177619934;0.9980977177619934
29;354.3210380077362;0.0005860500996959887;0.998558521270752;0.9996100664138794;0.998558521270752;0.998558521270752;0.998558521270752
30;354.47730684280396;0.0004406531720306442;0.9990665912628174;0.9997400641441345;0.9990665912628174;0.9990665912628174;0.9990665912628174
31;354.3697443008423;0.000547421735514102;0.9985703229904175;0.9995391964912415;0.9985703229904175;0.9985703229904175;0.9985703229904175
32;355.50257110595703;0.0005647645383726006;0.9987121224403381;0.9998582005500793;0.9987121224403381;0.9987121224403381;0.9987121224403381
33;354.27680110931396;0.0006689028302173612;0.9982158541679382;0.9997636675834656;0.9982158541679382;0.9982158541679382;0.9982158541679382
