iteration;gpu;cpu
0;5.314306999993278;4.151027000014437
1;5.4728163999971;4.18555729999207
2;5.133066000009421;4.304376499989303
3;5.137067900010152;4.1480115999875125
4;5.288600199972279;4.210907199973008
5;5.273574099992402;4.18141970000579
6;5.162747800000943;4.153353999980027
7;5.243049900018377;4.192945400020108
8;5.196283400000539;4.136382800003048
9;5.244245100009721;4.152201799995964
10;5.341377100005047;4.134075899986783
11;5.341693200025475;4.096525000000838
12;5.3852452999853995;4.128683599992655
13;5.414159599982668;4.16494089999469
14;5.318626099993708;4.1511209000018425
15;5.24239219998708;4.14100950001739
16;5.299534899997525;4.138535799982492
17;5.2350065000064205;4.164296099974308
18;5.227919099997962;4.12931680001202
19;5.394355800002813;4.163602200016612
20;5.437190099997679;4.129224799980875
21;5.287664199975552;4.164308999985224
22;5.316553200013004;4.117658100003609
23;5.327297299983911;4.110725900012767
24;5.257976399996551;4.130073599983007
25;5.257907499995781;4.183293200010667
26;5.259753300022567;4.151066999998875
27;5.257236899982672;4.165534299972933
28;5.258544299984351;4.177508199994918
29;5.258981799997855;4.1825657000008505
30;5.261045899998862;4.143380299996352
31;5.262400300009176;4.126475600001868
32;5.264420399995288;4.155286900000647
33;5.265073500020662;4.156983199995011
34;5.27086170000257;4.156695499987109
35;5.270309799991082;4.170313199982047
36;5.267398600000888;4.146649700007401
37;5.26822839997476;4.101925199996913
38;5.270309000014095;4.107023799995659
39;5.268287899991265;4.132431800011545
40;5.2717868000036106;4.15031729999464
41;5.288450799998827;4.15081740001915
42;5.288665300002322;4.127773000014713
43;5.290747899998678;4.139475400006631
44;5.2895720999804325;4.131017299980158
45;5.290942099993117;4.122361199988518
46;5.290263600007165;4.115829899994424
47;5.292576599982567;4.135102700005518
48;5.292750599997817;4.155085499980487
49;5.292605900001945;4.133762699988438
50;5.292949199996656;4.154674699995667
51;5.295761100016534;4.121397300012177
52;5.294027700001607;4.14006919998792
53;5.296115100005409;4.131473699992057
54;5.294646399997873;4.196701100008795
55;5.295570099988254;4.1706948000064585
56;5.294983800005866;4.1838798999961
57;5.29753179999534;4.128270299988799
58;5.297320399986347;4.13095429999521
59;5.296479099983117;4.163481099996716
60;5.298641400004271;4.169322000001557
61;5.294834200001787;4.132866700005252
62;5.2988822000043;4.1181752999837045
63;5.300087100011297;4.14449180001975
64;5.2994936000031885;4.126853499998106
65;5.300904699979583;4.111638000002131
66;5.3048452000075486;4.146967700013192
67;5.312853300012648;4.159093099995516
68;5.302276399976108;4.141680000000633
69;5.307713499991223;4.142084299994167
70;5.311459700023988;4.135974200005876
71;5.309614900004817;4.1611442000139505
72;5.311330299999099;4.133306900010211
73;5.30515909998212;4.118274599983124
74;5.301204199990025;4.122209900000598
75;5.301553800003603;4.232300000003306
76;5.298155900003621;4.144049099995755
77;5.300805000006221;4.184110500005772
78;5.3010228000057396;4.201598000014201
79;5.302538999996614;4.175101700006053
80;5.302088700002059;4.177999999985332
81;5.303682300000219;4.153092099993955
82;5.299441900016973;4.153683400014415
83;5.301637299999129;4.1422019000165164
84;5.301458400004776;4.126803899998777
85;5.302102799993008;4.139028600009624
86;5.298229500011075;4.145292400004109
87;5.3020870000182185;4.1577932999935
88;5.299906700005522;4.139018299989402
89;5.303297800011933;4.143621700000949
90;5.300213200011058;4.1575698999804445
91;5.3026734000013676;4.114164200000232
92;5.303346100001363;4.113722400012193
93;5.301490400015609;4.1567095000064
94;5.303598900005454;4.215052799991099
95;5.301996900001541;4.160151299991412
96;5.30445470000268;4.136565199994948
97;5.302371600002516;4.162554200011073
98;5.303297299979022;4.169967699999688
99;5.303022200008854;4.130883600009838
100;5.304050599981565;4.143994299985934
101;5.301876999990782;4.149995499989018
102;5.3026098999835085;4.168794400000479
103;5.306275999988429;4.133448899985524
104;5.3086114000179805;4.122540400014259
105;5.302286300022388;4.112323400011519
106;5.30403650001972;4.137495100003434
107;5.305727800005116;4.135912199999439
108;5.30290770001011;4.143610700004501
109;5.302308599988464;4.148766099999193
110;5.301742900017416;4.205182300007436
111;5.3053338000027;4.1496868999965955
112;5.305106899992097;4.132558799989056
113;5.305323000007775;4.134864099993138
