epoch;seconds;avr_loss;top_1_acc;top_5_acc;f1_score;precision;recall
0;613.4228830337524;0.36221723574546427;0.020688841119408607;0.0748390182852745;0.020688841119408607;0.020688841119408607;0.020688841119408607
1;352.15694308280945;0.3112842802768168;0.06528031826019287;0.19898387789726257;0.06528031826019287;0.06528031826019287;0.06528031826019287
2;352.66556096076965;0.27529578685253464;0.11823713779449463;0.31710284948349;0.11823713779449463;0.11823713779449463;0.11823713779449463
3;355.5385522842407;0.24719888879468627;0.18193419277668;0.41676610708236694;0.18193419277668;0.18193419277668;0.18193419277668
4;356.5167021751404;0.21992648785444424;0.24955396354198456;0.5033615231513977;0.24955396354198456;0.24955396354198456;0.24955396354198456
5;359.921236038208;0.19621169735556063;0.312246710062027;0.580102801322937;0.312246710062027;0.312246710062027;0.312246710062027
6;355.48359179496765;0.17746741805922783;0.36690494418144226;0.6346310377120972;0.36690494418144226;0.36690494418144226;0.36690494418144226
7;356.39542722702026;0.1607806449224345;0.4189874231815338;0.6808648705482483;0.4189874231815338;0.4189874231815338;0.4189874231815338
8;364.2290081977844;0.14537439990176032;0.4666154682636261;0.721450924873352;0.4666154682636261;0.4666154682636261;0.4666154682636261
9;363.509414434433;0.1330398995049002;0.5071424245834351;0.7532581090927124;0.5071424245834351;0.5071424245834351;0.5071424245834351
10;360.8620066642761;0.11941212877941042;0.5518993139266968;0.7876174449920654;0.5518993139266968;0.5518993139266968;0.5518993139266968
11;360.02673959732056;0.10813213350050616;0.591032087802887;0.814781129360199;0.591032087802887;0.591032087802887;0.591032087802887
12;359.9934186935425;0.0990703387277479;0.6251668930053711;0.8363915681838989;0.6251668930053711;0.6251668930053711;0.6251668930053711
13;362.2580213546753;0.0899801046571682;0.6544455885887146;0.855272650718689;0.6544455885887146;0.6544455885887146;0.6544455885887146
14;362.5046362876892;0.08023986625000976;0.6885803937911987;0.8766822218894958;0.6885803937911987;0.6885803937911987;0.6885803937911987
15;362.0720245838165;0.07375225977363005;0.7144798040390015;0.8934483528137207;0.7144798636436462;0.7144798040390015;0.7144798040390015
16;379.8439562320709;0.06642702533661024;0.7407810091972351;0.906445324420929;0.7407809495925903;0.7407810091972351;0.7407810091972351
17;374.4394459724426;0.05927394081421183;0.7654398083686829;0.9213209748268127;0.7654398083686829;0.7654398083686829;0.7654398083686829
18;363.249303817749;0.05210643262190424;0.794659435749054;0.9348968863487244;0.794659435749054;0.794659435749054;0.794659435749054
19;350.907742023468;0.046166216933550504;0.8160808086395264;0.946688711643219;0.8160808086395264;0.8160808086395264;0.8160808086395264
20;349.75332832336426;0.039562847211495715;0.8449459671974182;0.958516001701355;0.8449459671974182;0.8449459671974182;0.8449459671974182
21;350.65384459495544;0.03447073060259512;0.8665445446968079;0.9674720764160156;0.8665445446968079;0.8665445446968079;0.8665445446968079
22;349.7520487308502;0.030262318854299437;0.8830625414848328;0.9742068648338318;0.8830625414848328;0.8830625414848328;0.8830625414848328
23;349.44090461730957;0.02456002235971567;0.9067525267601013;0.9815206527709961;0.9067525267601013;0.9067525267601013;0.9067525267601013
24;349.71544194221497;0.0213394532158411;0.9208719730377197;0.9862468242645264;0.9208719730377197;0.9208719730377197;0.9208719730377197
25;350.41626167297363;0.016993679745001312;0.9391741156578064;0.9910557270050049;0.9391741156578064;0.9391741156578064;0.9391741156578064
26;350.1319842338562;0.014180831871396423;0.9509540796279907;0.9937378168106079;0.9509540796279907;0.9509540796279907;0.9509540796279907
