epoch;seconds;avr_loss;top_1_acc;top_5_acc;f1_score;precision;recall
0;267.32626032829285;0.11294943984520459;0.8321498036384583;0.9523246884346008;0.8321498036384583;0.8321498036384583;0.8321498036384583
1;266.8177344799042;0.03627068860216915;0.9326874017715454;0.9844508767127991;0.9326874017715454;0.9326874017715454;0.9326874017715454
2;264.3436756134033;0.014885268531412253;0.9706740975379944;0.9947184920310974;0.9706740975379944;0.9706740975379944;0.9706740975379944
3;263.724956035614;0.007636865061075763;0.9851952791213989;0.9979441165924072;0.9851952791213989;0.9851952791213989;0.9851952791213989
4;265.17443013191223;0.00470251815228737;0.9913038611412048;0.9993737936019897;0.9913038611412048;0.9913038611412048;0.9913038611412048
5;263.8234717845917;0.002744796580820087;0.994907557964325;0.9997400641441345;0.994907557964325;0.994907557964325;0.994907557964325
6;264.2842917442322;0.0014820468996031763;0.9974124431610107;0.9999409317970276;0.9974124431610107;0.9974124431610107;0.9974124431610107
7;264.44610691070557;0.001201762201862037;0.9978850483894348;0.999976396560669;0.9978850483894348;0.9978850483894348;0.9978850483894348
8;263.9903943538666;0.0009619008355666373;0.9977668523788452;0.9999645352363586;0.9977668523788452;0.9977668523788452;0.9977668523788452
9;263.6777286529541;0.0012081034334238858;0.9965144395828247;0.9999409317970276;0.9965144395828247;0.9965144395828247;0.9965144395828247
10;264.0141246318817;0.0008527690948306291;0.9979204535484314;1.0;0.9979204535484314;0.9979204535484314;0.9979204535484314
11;264.7471332550049;0.0005597478889091134;0.9988539218902588;0.9999881982803345;0.9988539218902588;0.9988539218902588;0.9988539218902588
12;263.85249042510986;0.0006013696356999192;0.9986648559570312;1.0;0.9986648559570312;0.9986648559570312;0.9986648559570312
13;263.56548714637756;0.0003298379837080457;0.9994210600852966;1.0;0.9994210600852966;0.9994210600852966;0.9994210600852966
14;263.6567454338074;0.0008724449118971758;0.9973651766777039;0.9999409317970276;0.9973651766777039;0.9973651766777039;0.9973651766777039
15;264.11130809783936;0.00047142381049946507;0.9987948536872864;0.9999881982803345;0.9987948536872864;0.9987948536872864;0.9987948536872864
16;263.98704528808594;0.0011235445478445356;0.9959236979484558;0.9999645352363586;0.9959236979484558;0.9959236979484558;0.9959236979484558
17;264.2068853378296;0.0009549728961162484;0.9966325759887695;0.9999645352363586;0.9966325759887695;0.9966325759887695;0.9966325759887695
